state code,date,visits,clinic,notes
HI,2026-02-06,6,Community Care,telehealth ok
PA,2026-02-06,5,Downtown Clinic,
PA,2026-02-06,2,Northside Health,
PA,2026-02-06,3,Community Care,telehealth ok
AZ,2026-02-06,4,Riverstone Medical,
AZ,2026-02-06,5,Lakeview Clinic,seasonal spike expected
AZ,2026-02-06,2,Northside Health,telehealth ok
RI,2026-02-06,4,Northside Health,seasonal spike expected
RI,2026-02-06,6,Community Care,seasonal spike expected
RI,2026-02-06,3,Riverstone Medical,
NC,2026-02-06,6,Downtown Clinic,telehealth ok
NC,2026-02-06,4,Community Care,telehealth ok
NC,2026-02-06,2,Northside Health,seasonal spike expected
TN,2026-02-06,5,Riverstone Medical,telehealth ok
TN,2026-02-06,2,Lakeview Clinic,telehealth ok
TN,2026-02-06,2,Downtown Clinic,
IL,2026-02-06,3,Riverstone Medical,seasonal spike expected
IL,2026-02-06,6,Community Care,seasonal spike expected
IL,2026-02-06,4,Downtown Clinic,telehealth ok
NH,2026-02-06,2,Downtown Clinic,
NH,2026-02-06,5,Community Care,
NH,2026-02-06,5,Lakeview Clinic,telehealth ok
FL,2026-02-06,4,Downtown Clinic,telehealth ok
FL,2026-02-06,7,Northside Health,
FL,2026-02-06,3,Riverstone Medical,
MT,2026-02-06,3,Northside Health,telehealth ok
MT,2026-02-06,6,Riverstone Medical,
MT,2026-02-06,4,Lakeview Clinic,telehealth ok
NE,2026-02-06,3,Downtown Clinic,seasonal spike expected
NE,2026-02-06,3,Community Care,seasonal spike expected
NE,2026-02-06,3,Riverstone Medical,seasonal spike expected
CT,2026-02-06,5,Lakeview Clinic,
CT,2026-02-06,3,Northside Health,telehealth ok
CT,2026-02-06,6,Community Care,seasonal spike expected
AL,2026-02-06,4,Northside Health,telehealth ok
AL,2026-02-06,4,Riverstone Medical,seasonal spike expected
AL,2026-02-06,6,Community Care,telehealth ok
MD,2026-02-06,3,Northside Health,telehealth ok
MD,2026-02-06,3,Lakeview Clinic,
MD,2026-02-06,3,Riverstone Medical,
ID,2026-02-06,3,Lakeview Clinic,telehealth ok
ID,2026-02-06,3,Community Care,telehealth ok
ID,2026-02-06,3,Riverstone Medical,
ND,2026-02-06,3,Downtown Clinic,seasonal spike expected
ND,2026-02-06,5,Community Care,
ND,2026-02-06,2,Lakeview Clinic,telehealth ok
KS,2026-02-06,5,Lakeview Clinic,
KS,2026-02-06,2,Community Care,
KS,2026-02-06,4,Riverstone Medical,
VT,2026-02-06,3,Community Care,seasonal spike expected
VT,2026-02-06,6,Riverstone Medical,telehealth ok
VT,2026-02-06,6,Northside Health,
MI,2026-02-06,6,Lakeview Clinic,telehealth ok
MI,2026-02-06,4,Riverstone Medical,
MI,2026-02-06,3,Community Care,
NY,2026-02-06,3,Northside Health,telehealth ok
NY,2026-02-06,6,Riverstone Medical,telehealth ok
NY,2026-02-06,4,Community Care,seasonal spike expected
UT,2026-02-06,2,Northside Health,
UT,2026-02-06,2,Riverstone Medical,
UT,2026-02-06,6,Lakeview Clinic,
TX,2026-02-06,4,Downtown Clinic,seasonal spike expected
TX,2026-02-06,4,Lakeview Clinic,seasonal spike expected
TX,2026-02-06,6,Riverstone Medical,telehealth ok
LA,2026-02-06,4,Downtown Clinic,seasonal spike expected
LA,2026-02-06,2,Community Care,
LA,2026-02-06,3,Northside Health,telehealth ok
WV,2026-02-06,6,Community Care,telehealth ok
WV,2026-02-06,6,Riverstone Medical,seasonal spike expected
WV,2026-02-06,6,Downtown Clinic,seasonal spike expected
NJ,2026-02-06,6,Northside Health,
NJ,2026-02-06,2,Lakeview Clinic,
NJ,2026-02-06,5,Riverstone Medical,telehealth ok
NM,2026-02-06,2,Community Care,
NM,2026-02-06,3,Lakeview Clinic,telehealth ok
NM,2026-02-06,6,Downtown Clinic,telehealth ok
MN,2026-02-06,3,Downtown Clinic,telehealth ok
MN,2026-02-06,6,Community Care,telehealth ok
MN,2026-02-06,5,Lakeview Clinic,
MS,2026-02-06,4,Riverstone Medical,seasonal spike expected
MS,2026-02-06,5,Lakeview Clinic,seasonal spike expected
MS,2026-02-06,3,Downtown Clinic,seasonal spike expected
VA,2026-02-06,4,Community Care,seasonal spike expected
VA,2026-02-06,5,Northside Health,telehealth ok
VA,2026-02-06,2,Downtown Clinic,
AR,2026-02-06,2,Community Care,
AR,2026-02-06,6,Riverstone Medical,telehealth ok
AR,2026-02-06,5,Lakeview Clinic,seasonal spike expected
WY,2026-02-07,4,Riverstone Medical,telehealth ok
WY,2026-02-07,1,Lakeview Clinic,seasonal spike expected
WY,2026-02-07,4,Community Care,
OR,2026-02-07,5,Community Care,
OR,2026-02-07,1,Lakeview Clinic,seasonal spike expected
OR,2026-02-07,3,Downtown Clinic,seasonal spike expected
CA,2026-02-07,4,Downtown Clinic,seasonal spike expected
CA,2026-02-07,3,Community Care,telehealth ok
CA,2026-02-07,2,Lakeview Clinic,telehealth ok
GA,2026-02-07,3,Northside Health,
GA,2026-02-07,4,Lakeview Clinic,telehealth ok
GA,2026-02-07,3,Downtown Clinic,
AK,2026-02-07,5,Community Care,seasonal spike expected
AK,2026-02-07,3,Lakeview Clinic,
AK,2026-02-07,3,Northside Health,seasonal spike expected
HI,2026-02-07,3,Lakeview Clinic,seasonal spike expected
HI,2026-02-07,1,Riverstone Medical,telehealth ok
HI,2026-02-07,4,Downtown Clinic,seasonal spike expected
PA,2026-02-07,2,Northside Health,seasonal spike expected
PA,2026-02-07,2,Lakeview Clinic,telehealth ok
PA,2026-02-07,4,Downtown Clinic,
AZ,2026-02-07,4,Downtown Clinic,seasonal spike expected
AZ,2026-02-07,5,Northside Health,telehealth ok
AZ,2026-02-07,1,Community Care,telehealth ok
RI,2026-02-07,2,Community Care,
RI,2026-02-07,2,Northside Health,seasonal spike expected
RI,2026-02-07,1,Riverstone Medical,seasonal spike expected
NC,2026-02-07,4,Lakeview Clinic,telehealth ok
NC,2026-02-07,2,Community Care,telehealth ok
NC,2026-02-07,3,Northside Health,telehealth ok
TN,2026-02-07,1,Lakeview Clinic,seasonal spike expected
TN,2026-02-07,2,Downtown Clinic,seasonal spike expected
TN,2026-02-07,3,Northside Health,telehealth ok
IL,2026-02-07,3,Northside Health,
IL,2026-02-07,3,Downtown Clinic,
IL,2026-02-07,5,Community Care,
NH,2026-02-07,4,Downtown Clinic,telehealth ok
NH,2026-02-07,2,Northside Health,telehealth ok
NH,2026-02-07,5,Community Care,
FL,2026-02-07,3,Downtown Clinic,
FL,2026-02-07,3,Lakeview Clinic,telehealth ok
FL,2026-02-07,3,Riverstone Medical,telehealth ok
MT,2026-02-07,2,Community Care,telehealth ok
MT,2026-02-07,5,Lakeview Clinic,seasonal spike expected
MT,2026-02-07,2,Northside Health,telehealth ok
NE,2026-02-07,3,Community Care,seasonal spike expected
NE,2026-02-07,4,Riverstone Medical,seasonal spike expected
NE,2026-02-07,3,Downtown Clinic,seasonal spike expected
CT,2026-02-07,3,Community Care,seasonal spike expected
CT,2026-02-07,2,Northside Health,telehealth ok
CT,2026-02-07,3,Lakeview Clinic,telehealth ok
AL,2026-02-07,1,Lakeview Clinic,telehealth ok
AL,2026-02-07,5,Community Care,telehealth ok
AL,2026-02-07,1,Downtown Clinic,seasonal spike expected
MD,2026-02-07,2,Downtown Clinic,seasonal spike expected
MD,2026-02-07,4,Northside Health,
MD,2026-02-07,2,Riverstone Medical,
ID,2026-02-07,1,Community Care,
ID,2026-02-07,3,Riverstone Medical,telehealth ok
ID,2026-02-07,1,Downtown Clinic,
ND,2026-02-07,5,Lakeview Clinic,
ND,2026-02-07,2,Downtown Clinic,
ND,2026-02-07,5,Riverstone Medical,
KS,2026-02-07,4,Northside Health,telehealth ok
KS,2026-02-07,3,Community Care,telehealth ok
KS,2026-02-07,4,Downtown Clinic,telehealth ok
VT,2026-02-07,3,Riverstone Medical,telehealth ok
VT,2026-02-07,4,Northside Health,seasonal spike expected
VT,2026-02-07,5,Downtown Clinic,telehealth ok
MI,2026-02-07,1,Riverstone Medical,seasonal spike expected
MI,2026-02-07,2,Downtown Clinic,telehealth ok
MI,2026-02-07,5,Lakeview Clinic,
NY,2026-02-07,6,Lakeview Clinic,
NY,2026-02-07,2,Northside Health,seasonal spike expected
NY,2026-02-07,2,Downtown Clinic,telehealth ok
UT,2026-02-07,5,Community Care,
UT,2026-02-07,5,Downtown Clinic,seasonal spike expected
UT,2026-02-07,1,Northside Health,
TX,2026-02-07,6,Northside Health,seasonal spike expected
TX,2026-02-07,4,Lakeview Clinic,
TX,2026-02-07,2,Community Care,seasonal spike expected
LA,2026-02-07,4,Community Care,seasonal spike expected
LA,2026-02-07,5,Downtown Clinic,seasonal spike expected
LA,2026-02-07,4,Lakeview Clinic,seasonal spike expected
WV,2026-02-07,5,Community Care,
WV,2026-02-07,5,Downtown Clinic,
WV,2026-02-07,3,Lakeview Clinic,
NJ,2026-02-07,3,Northside Health,seasonal spike expected
NJ,2026-02-07,5,Downtown Clinic,telehealth ok
NJ,2026-02-07,2,Community Care,
NM,2026-02-07,3,Community Care,
NM,2026-02-07,2,Riverstone Medical,seasonal spike expected
NM,2026-02-07,4,Downtown Clinic,seasonal spike expected
MN,2026-02-07,5,Downtown Clinic,
MN,2026-02-07,5,Riverstone Medical,telehealth ok
MN,2026-02-07,3,Lakeview Clinic,seasonal spike expected
MS,2026-02-07,2,Riverstone Medical,seasonal spike expected
MS,2026-02-07,5,Downtown Clinic,seasonal spike expected
MS,2026-02-07,2,Community Care,seasonal spike expected
VA,2026-02-07,2,Lakeview Clinic,
VA,2026-02-07,1,Northside Health,seasonal spike expected
VA,2026-02-07,5,Riverstone Medical,
AR,2026-02-07,3,Lakeview Clinic,
AR,2026-02-07,3,Downtown Clinic,
AR,2026-02-07,3,Northside Health,
WY,2026-02-08,1,Lakeview Clinic,telehealth ok
WY,2026-02-08,4,Community Care,
WY,2026-02-08,4,Riverstone Medical,
OR,2026-02-08,1,Northside Health,seasonal spike expected
OR,2026-02-08,1,Downtown Clinic,seasonal spike expected
OR,2026-02-08,5,Community Care,seasonal spike expected
CA,2026-02-08,5,Lakeview Clinic,telehealth ok
CA,2026-02-08,6,Community Care,
CA,2026-02-08,2,Riverstone Medical,telehealth ok
GA,2026-02-08,5,Northside Health,telehealth ok
GA,2026-02-08,1,Downtown Clinic,telehealth ok
GA,2026-02-08,1,Riverstone Medical,
AK,2026-02-08,4,Downtown Clinic,seasonal spike expected
AK,2026-02-08,2,Lakeview Clinic,seasonal spike expected
AK,2026-02-08,1,Riverstone Medical,
HI,2026-02-08,1,Community Care,telehealth ok
HI,2026-02-08,1,Downtown Clinic,telehealth ok
HI,2026-02-08,4,Northside Health,telehealth ok
PA,2026-02-08,3,Riverstone Medical,telehealth ok
PA,2026-02-08,4,Lakeview Clinic,seasonal spike expected
PA,2026-02-08,4,Downtown Clinic,seasonal spike expected
AZ,2026-02-08,4,Downtown Clinic,telehealth ok
AZ,2026-02-08,5,Riverstone Medical,
AZ,2026-02-08,1,Lakeview Clinic,telehealth ok
RI,2026-02-08,5,Northside Health,
RI,2026-02-08,2,Lakeview Clinic,telehealth ok
RI,2026-02-08,3,Riverstone Medical,seasonal spike expected
NC,2026-02-08,1,Northside Health,
NC,2026-02-08,5,Community Care,telehealth ok
NC,2026-02-08,2,Lakeview Clinic,seasonal spike expected
TN,2026-02-08,4,Community Care,
TN,2026-02-08,5,Northside Health,seasonal spike expected
TN,2026-02-08,2,Riverstone Medical,
IL,2026-02-08,1,Riverstone Medical,telehealth ok
IL,2026-02-08,3,Lakeview Clinic,telehealth ok
IL,2026-02-08,3,Northside Health,
NH,2026-02-08,3,Northside Health,seasonal spike expected
NH,2026-02-08,3,Riverstone Medical,seasonal spike expected
NH,2026-02-08,3,Lakeview Clinic,
FL,2026-02-08,5,Lakeview Clinic,
FL,2026-02-08,2,Northside Health,
FL,2026-02-08,2,Downtown Clinic,
MT,2026-02-08,2,Lakeview Clinic,telehealth ok
MT,2026-02-08,4,Northside Health,
MT,2026-02-08,3,Riverstone Medical,seasonal spike expected
NE,2026-02-08,5,Riverstone Medical,seasonal spike expected
NE,2026-02-08,4,Lakeview Clinic,
NE,2026-02-08,4,Community Care,telehealth ok
CT,2026-02-08,1,Riverstone Medical,
CT,2026-02-08,3,Community Care,telehealth ok
CT,2026-02-08,2,Downtown Clinic,seasonal spike expected
AL,2026-02-08,3,Northside Health,
AL,2026-02-08,4,Riverstone Medical,
AL,2026-02-08,5,Lakeview Clinic,telehealth ok
MD,2026-02-08,5,Community Care,
MD,2026-02-08,5,Riverstone Medical,seasonal spike expected
MD,2026-02-08,4,Northside Health,telehealth ok
ID,2026-02-08,4,Lakeview Clinic,telehealth ok
ID,2026-02-08,5,Downtown Clinic,
ID,2026-02-08,1,Northside Health,seasonal spike expected
ND,2026-02-08,3,Riverstone Medical,telehealth ok
ND,2026-02-08,4,Downtown Clinic,
ND,2026-02-08,2,Northside Health,
KS,2026-02-08,5,Northside Health,
KS,2026-02-08,5,Community Care,seasonal spike expected
KS,2026-02-08,5,Riverstone Medical,telehealth ok
VT,2026-02-08,1,Community Care,telehealth ok
VT,2026-02-08,1,Downtown Clinic,telehealth ok
VT,2026-02-08,2,Lakeview Clinic,
MI,2026-02-08,2,Lakeview Clinic,telehealth ok
MI,2026-02-08,2,Riverstone Medical,
MI,2026-02-08,2,Community Care,telehealth ok
NY,2026-02-08,3,Northside Health,
NY,2026-02-08,6,Downtown Clinic,seasonal spike expected
NY,2026-02-08,4,Lakeview Clinic,seasonal spike expected
UT,2026-02-08,1,Riverstone Medical,seasonal spike expected
UT,2026-02-08,2,Community Care,
UT,2026-02-08,3,Lakeview Clinic,
TX,2026-02-08,6,Northside Health,seasonal spike expected
TX,2026-02-08,3,Lakeview Clinic,seasonal spike expected
TX,2026-02-08,6,Community Care,
LA,2026-02-08,5,Northside Health,
LA,2026-02-08,2,Community Care,
LA,2026-02-08,4,Lakeview Clinic,telehealth ok
WV,2026-02-08,5,Community Care,
WV,2026-02-08,3,Northside Health,seasonal spike expected
WV,2026-02-08,3,Riverstone Medical,seasonal spike expected
NJ,2026-02-08,1,Riverstone Medical,seasonal spike expected
NJ,2026-02-08,3,Community Care,
NJ,2026-02-08,3,Downtown Clinic,
NM,2026-02-08,1,Lakeview Clinic,telehealth ok
NM,2026-02-08,5,Riverstone Medical,
NM,2026-02-08,1,Northside Health,seasonal spike expected
MN,2026-02-08,4,Lakeview Clinic,telehealth ok
MN,2026-02-08,3,Northside Health,
MN,2026-02-08,1,Riverstone Medical,telehealth ok
MS,2026-02-08,4,Riverstone Medical,telehealth ok
MS,2026-02-08,3,Lakeview Clinic,telehealth ok
MS,2026-02-08,1,Northside Health,telehealth ok
VA,2026-02-08,2,Northside Health,
VA,2026-02-08,4,Riverstone Medical,
VA,2026-02-08,5,Community Care,telehealth ok
AR,2026-02-08,3,Downtown Clinic,telehealth ok
AR,2026-02-08,4,Northside Health,seasonal spike expected
AR,2026-02-08,4,Community Care,telehealth ok
WY,2026-02-09,6,Riverstone Medical,seasonal spike expected
WY,2026-02-09,2,Northside Health,
WY,2026-02-09,2,Downtown Clinic,
OR,2026-02-09,5,Riverstone Medical,telehealth ok
OR,2026-02-09,2,Northside Health,seasonal spike expected
OR,2026-02-09,3,Downtown Clinic,seasonal spike expected
CA,2026-02-09,3,Northside Health,telehealth ok
CA,2026-02-09,3,Community Care,seasonal spike expected
CA,2026-02-09,3,Downtown Clinic,
GA,2026-02-09,5,Lakeview Clinic,seasonal spike expected
GA,2026-02-09,4,Northside Health,telehealth ok
GA,2026-02-09,6,Riverstone Medical,telehealth ok
AK,2026-02-09,3,Northside Health,seasonal spike expected
AK,2026-02-09,3,Community Care,
AK,2026-02-09,6,Downtown Clinic,telehealth ok
HI,2026-02-09,3,Riverstone Medical,
HI,2026-02-09,3,Lakeview Clinic,seasonal spike expected
HI,2026-02-09,5,Downtown Clinic,
PA,2026-02-09,6,Riverstone Medical,
PA,2026-02-09,4,Northside Health,
PA,2026-02-09,3,Downtown Clinic,telehealth ok
AZ,2026-02-09,3,Northside Health,telehealth ok
AZ,2026-02-09,6,Community Care,
AZ,2026-02-09,2,Riverstone Medical,seasonal spike expected
RI,2026-02-09,2,Northside Health,telehealth ok
RI,2026-02-09,2,Downtown Clinic,seasonal spike expected
RI,2026-02-09,4,Riverstone Medical,seasonal spike expected
NC,2026-02-09,6,Riverstone Medical,seasonal spike expected
NC,2026-02-09,2,Downtown Clinic,
NC,2026-02-09,4,Northside Health,
TN,2026-02-09,5,Lakeview Clinic,seasonal spike expected
TN,2026-02-09,2,Community Care,telehealth ok
TN,2026-02-09,4,Northside Health,
IL,2026-02-09,2,Community Care,telehealth ok
IL,2026-02-09,2,Downtown Clinic,seasonal spike expected
IL,2026-02-09,2,Lakeview Clinic,
NH,2026-02-09,4,Northside Health,telehealth ok
NH,2026-02-09,2,Lakeview Clinic,
NH,2026-02-09,4,Downtown Clinic,telehealth ok
FL,2026-02-09,3,Northside Health,telehealth ok
FL,2026-02-09,3,Downtown Clinic,telehealth ok
FL,2026-02-09,7,Riverstone Medical,
MT,2026-02-09,3,Northside Health,seasonal spike expected
MT,2026-02-09,4,Community Care,
MT,2026-02-09,3,Downtown Clinic,telehealth ok
NE,2026-02-09,5,Community Care,
NE,2026-02-09,5,Downtown Clinic,telehealth ok
NE,2026-02-09,2,Lakeview Clinic,
CT,2026-02-09,3,Downtown Clinic,seasonal spike expected
CT,2026-02-09,2,Riverstone Medical,telehealth ok
CT,2026-02-09,5,Lakeview Clinic,telehealth ok
AL,2026-02-09,6,Community Care,telehealth ok
AL,2026-02-09,6,Downtown Clinic,seasonal spike expected
AL,2026-02-09,6,Lakeview Clinic,
MD,2026-02-09,6,Riverstone Medical,seasonal spike expected
MD,2026-02-09,2,Northside Health,
MD,2026-02-09,5,Downtown Clinic,
ID,2026-02-09,6,Downtown Clinic,seasonal spike expected
ID,2026-02-09,6,Northside Health,
ID,2026-02-09,4,Community Care,telehealth ok
ND,2026-02-09,3,Community Care,telehealth ok
ND,2026-02-09,2,Riverstone Medical,telehealth ok
ND,2026-02-09,4,Downtown Clinic,
KS,2026-02-09,3,Lakeview Clinic,
KS,2026-02-09,5,Riverstone Medical,
KS,2026-02-09,2,Downtown Clinic,telehealth ok
VT,2026-02-09,2,Community Care,seasonal spike expected
VT,2026-02-09,4,Downtown Clinic,
VT,2026-02-09,4,Lakeview Clinic,
MI,2026-02-09,2,Community Care,telehealth ok
MI,2026-02-09,2,Downtown Clinic,
MI,2026-02-09,3,Northside Health,telehealth ok
NY,2026-02-09,7,Lakeview Clinic,
NY,2026-02-09,3,Northside Health,seasonal spike expected
NY,2026-02-09,3,Community Care,seasonal spike expected
UT,2026-02-09,6,Lakeview Clinic,seasonal spike expected
UT,2026-02-09,3,Northside Health,telehealth ok
UT,2026-02-09,4,Riverstone Medical,
TX,2026-02-09,5,Northside Health,telehealth ok
TX,2026-02-09,5,Lakeview Clinic,
TX,2026-02-09,6,Community Care,
LA,2026-02-09,6,Northside Health,seasonal spike expected
LA,2026-02-09,5,Downtown Clinic,
LA,2026-02-09,4,Lakeview Clinic,telehealth ok
WV,2026-02-09,2,Downtown Clinic,telehealth ok
WV,2026-02-09,6,Lakeview Clinic,seasonal spike expected
WV,2026-02-09,4,Community Care,seasonal spike expected
NJ,2026-02-09,5,Community Care,seasonal spike expected
NJ,2026-02-09,4,Lakeview Clinic,telehealth ok
NJ,2026-02-09,5,Riverstone Medical,
NM,2026-02-09,2,Downtown Clinic,seasonal spike expected
NM,2026-02-09,6,Riverstone Medical,telehealth ok
NM,2026-02-09,6,Community Care,seasonal spike expected
MN,2026-02-09,4,Riverstone Medical,telehealth ok
MN,2026-02-09,4,Northside Health,telehealth ok
MN,2026-02-09,5,Community Care,telehealth ok
MS,2026-02-09,6,Riverstone Medical,seasonal spike expected
MS,2026-02-09,4,Community Care,seasonal spike expected
MS,2026-02-09,2,Downtown Clinic,seasonal spike expected
VA,2026-02-09,3,Lakeview Clinic,telehealth ok
VA,2026-02-09,6,Northside Health,seasonal spike expected
VA,2026-02-09,5,Downtown Clinic,
AR,2026-02-09,6,Community Care,
AR,2026-02-09,4,Lakeview Clinic,telehealth ok
AR,2026-02-09,2,Riverstone Medical,seasonal spike expected
WY,2026-02-10,5,Lakeview Clinic,telehealth ok
WY,2026-02-10,6,Riverstone Medical,seasonal spike expected
WY,2026-02-10,4,Downtown Clinic,telehealth ok
OR,2026-02-10,4,Downtown Clinic,
OR,2026-02-10,5,Lakeview Clinic,
OR,2026-02-10,3,Riverstone Medical,telehealth ok
CA,2026-02-10,7,Riverstone Medical,telehealth ok
CA,2026-02-10,6,Downtown Clinic,seasonal spike expected
CA,2026-02-10,3,Lakeview Clinic,
GA,2026-02-10,2,Downtown Clinic,telehealth ok
GA,2026-02-10,3,Community Care,telehealth ok
GA,2026-02-10,4,Lakeview Clinic,
AK,2026-02-10,3,Northside Health,
AK,2026-02-10,4,Riverstone Medical,
AK,2026-02-10,5,Downtown Clinic,telehealth ok
HI,2026-02-10,4,Lakeview Clinic,
HI,2026-02-10,3,Northside Health,
HI,2026-02-10,4,Riverstone Medical,seasonal spike expected
PA,2026-02-10,6,Lakeview Clinic,telehealth ok
PA,2026-02-10,3,Downtown Clinic,
PA,2026-02-10,2,Northside Health,telehealth ok
AZ,2026-02-10,2,Riverstone Medical,seasonal spike expected
AZ,2026-02-10,6,Community Care,
AZ,2026-02-10,2,Lakeview Clinic,
RI,2026-02-10,5,Riverstone Medical,
RI,2026-02-10,5,Downtown Clinic,
RI,2026-02-10,2,Northside Health,telehealth ok
